bike_id,brakes_prob,chain_prob,tires_prob,risk_score
1.0,0.192,0.26,0.395,0.282
2.0,0.151,0.089,0.195,0.145
3.0,0.392,0.379,0.422,0.398
4.0,0.315,0.165,0.306,0.262
5.0,0.33,0.265,0.227,0.274
6.0,0.208,0.188,0.317,0.238
7.0,0.174,0.263,0.284,0.24
8.0,0.257,0.213,0.438,0.303
9.0,0.238,0.142,0.182,0.187
10.0,0.172,0.179,0.187,0.179
11.0,0.188,0.194,0.238,0.207
12.0,0.315,0.349,0.207,0.29
13.0,0.214,0.312,0.22,0.249
14.0,0.289,0.271,0.397,0.319
15.0,0.245,0.231,0.272,0.249
16.0,0.183,0.215,0.198,0.198
17.0,0.295,0.251,0.299,0.282
18.0,0.308,0.103,0.221,0.211
19.0,0.152,0.296,0.172,0.207
20.0,0.298,0.309,0.212,0.273
21.0,0.461,0.303,0.371,0.378
22.0,0.171,0.204,0.219,0.198
23.0,0.223,0.328,0.383,0.311
24.0,0.381,0.235,0.415,0.343
25.0,0.328,0.298,0.28,0.302
26.0,0.411,0.298,0.397,0.369
27.0,0.293,0.45,0.5,0.414
28.0,0.345,0.262,0.401,0.336
29.0,0.408,0.364,0.421,0.398
30.0,0.311,0.258,0.343,0.304
31.0,0.444,0.34,0.351,0.378
32.0,0.364,0.179,0.293,0.279
33.0,0.321,0.321,0.237,0.293
34.0,0.276,0.331,0.387,0.331
35.0,0.447,0.22,0.329,0.332
36.0,0.268,0.245,0.244,0.252
37.0,0.261,0.105,0.273,0.213
38.0,0.158,0.169,0.202,0.176
39.0,0.362,0.201,0.294,0.286
40.0,0.329,0.195,0.328,0.284
41.0,0.275,0.253,0.245,0.258
42.0,0.264,0.426,0.261,0.317
43.0,0.334,0.346,0.451,0.377
44.0,0.398,0.308,0.403,0.369
45.0,0.168,0.132,0.284,0.195
46.0,0.142,0.13,0.339,0.204
47.0,0.265,0.207,0.373,0.282
48.0,0.202,0.227,0.242,0.224
49.0,0.262,0.196,0.176,0.211
50.0,0.349,0.257,0.204,0.27
